# 10.0 sps, start/stop: 50/0 mA (10 s), channels: 3
# V (#ffffff00), min: 5.06378, max: 5.10755
# I (#ff00ff00), min: 0.30276, max: 0.38965
# P (#ffff55ff), min: 1.5422957711999998, max: 1.980411711
Time,Voltage,Current,Power
0.00000000,5.09990000,0.31016000,1.58178498
0.10000000,5.09994000,0.31016000,1.58179739
0.20000000,5.09986000,0.31017000,1.58182358
0.30000000,5.09986000,0.31033000,1.58263955
0.40000000,5.10056000,0.30775000,1.56969734
0.50000000,5.10123000,0.30527000,1.55725248
0.60000000,5.10111000,0.30549000,1.55833809
0.70000000,5.10092000,0.30581000,1.55991235
0.80000000,5.10092000,0.30575000,1.55960629
0.90000000,5.10088000,0.30576000,1.55964507
1.00000000,5.10099000,0.30575000,1.55962769
1.10000000,5.10103000,0.30575000,1.55963992
1.20000000,5.10103000,0.30611000,1.56147629
1.30000000,5.10099000,0.30604000,1.56110698
1.40000000,5.10111000,0.30567000,1.55925629
1.50000000,5.10115000,0.30533000,1.55753413
1.60000000,5.10123000,0.30496000,1.55567110
1.70000000,5.10139000,0.30462000,1.55398542
1.80000000,5.10154000,0.30455000,1.55367401
1.90000000,5.10162000,0.30454000,1.55364735
2.00000000,5.10158000,0.30455000,1.55368619
2.10000000,5.10154000,0.30456000,1.55372502
2.20000000,5.10162000,0.30420000,1.55191280
2.30000000,5.10170000,0.30419000,1.55188612
2.40000000,5.10178000,0.30419000,1.55191046
2.50000000,5.10197000,0.30417000,1.55186621
2.60000000,5.10205000,0.30417000,1.55189055
2.70000000,5.10213000,0.30427000,1.55242510
2.80000000,5.10193000,0.30457000,1.55389482
2.90000000,5.10185000,0.30526000,1.55739073
3.00000000,5.10170000,0.30566000,1.55938562
3.10000000,5.09004000,0.34484000,1.75524939
3.20000000,5.08879000,0.34285000,1.74469165
3.30000000,5.08754000,0.34882000,1.77463570
3.40000000,5.10755000,0.30351000,1.55019250
3.50000000,5.09627000,0.30450000,1.55181421
3.60000000,5.09623000,0.30425000,1.55052798
3.70000000,5.09619000,0.30525000,1.55561200
3.80000000,5.09630000,0.30475000,1.55309743
3.90000000,5.09642000,0.30500000,1.55440810
4.00000000,5.09654000,0.30450000,1.55189643
4.10000000,5.09673000,0.30276000,1.54308597
4.20000000,5.09838000,0.30400000,1.54990752
4.30000000,5.09943000,0.30425000,1.55150158
4.40000000,5.10099000,0.30865000,1.57442056
4.50000000,5.10181000,0.30529000,1.55753157
4.60000000,5.10181000,0.30522000,1.55717445
4.70000000,5.10185000,0.30521000,1.55713564
4.80000000,5.10178000,0.30519000,1.55701224
4.90000000,5.10181000,0.30522000,1.55717445
5.00000000,5.10185000,0.30518000,1.55698258
5.10000000,5.10185000,0.30518000,1.55698258
5.20000000,5.10185000,0.30520000,1.55708462
5.30000000,5.10178000,0.30552000,1.55869583
5.40000000,5.10162000,0.30587000,1.56043251
5.50000000,5.10174000,0.30529000,1.55751020
5.60000000,5.10166000,0.30565000,1.55932238
5.70000000,5.10166000,0.30576000,1.55988356
5.80000000,5.10170000,0.30574000,1.55979376
5.90000000,5.10170000,0.30573000,1.55974274
6.00000000,5.10166000,0.30572000,1.55967950
6.10000000,5.10170000,0.30567000,1.55943664
6.20000000,5.10181000,0.30567000,1.55947026
6.30000000,5.10197000,0.30538000,1.55803960
6.40000000,5.10217000,0.30504000,1.55636594
6.50000000,5.10228000,0.30468000,1.55456267
6.60000000,5.10240000,0.30434000,1.55286442
6.70000000,5.10240000,0.30415000,1.55189496
6.80000000,5.10244000,0.30415000,1.55190713
6.90000000,5.10252000,0.30415000,1.55193146
7.00000000,5.10252000,0.30415000,1.55193146
7.10000000,5.10256000,0.30415000,1.55194362
7.20000000,5.10248000,0.30420000,1.55217442
