# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 3
# V (#ffffff00), min: 5.06878, max: 5.11005
# I (#ff00ff00), min: 0.30849, max: 0.39737
# P (#ffff55ff), min: 1.5717843140999999, max: 2.0161679586
Time,Voltage,Current,Power
0.00000000,5.09931000,0.31137000,1.58777215
0.10000000,5.09931000,0.31131000,1.58746620
0.20000000,5.09924000,0.31159000,1.58887219
0.30000000,5.09924000,0.31198000,1.59086090
0.40000000,5.09916000,0.31229000,1.59241668
0.50000000,5.09908000,0.31260000,1.59397241
0.60000000,5.09896000,0.31261000,1.59398589
0.70000000,5.09877000,0.31295000,1.59566007
0.80000000,5.09849000,0.31329000,1.59730593
0.90000000,5.09834000,0.31363000,1.59899237
1.00000000,5.09842000,0.31317000,1.59667219
1.10000000,5.09845000,0.31311000,1.59637568
1.20000000,5.09838000,0.31340000,1.59783229
1.30000000,5.09826000,0.31375000,1.59957907
1.40000000,5.09818000,0.31406000,1.60113441
1.50000000,5.09799000,0.31442000,1.60291002
1.60000000,5.09802000,0.31461000,1.60388807
1.70000000,5.09814000,0.31460000,1.60387484
1.80000000,5.09822000,0.31461000,1.60395099
1.90000000,5.09818000,0.31467000,1.60424430
2.00000000,5.09810000,0.31467000,1.60421913
2.10000000,5.09810000,0.31462000,1.60396422
2.20000000,5.09814000,0.31482000,1.60499643
2.30000000,5.09822000,0.31447000,1.60323724
2.40000000,5.09842000,0.31410000,1.60141372
2.50000000,5.09865000,0.31374000,1.59965045
2.60000000,5.09865000,0.31347000,1.59827382
2.70000000,5.09857000,0.31348000,1.59829972
2.80000000,5.09853000,0.31348000,1.59828718
2.90000000,5.09853000,0.31341000,1.59793029
3.00000000,5.09865000,0.31338000,1.59781494
3.10000000,5.09877000,0.31338000,1.59785254
3.20000000,5.09896000,0.31299000,1.59592349
3.30000000,5.09888000,0.31298000,1.59584746
3.40000000,5.09881000,0.31298000,1.59582555
3.50000000,5.09877000,0.31298000,1.59581303
3.60000000,5.09865000,0.31330000,1.59740705
3.70000000,5.09865000,0.31375000,1.59970144
3.80000000,5.09877000,0.31410000,1.60152366
3.90000000,5.09881000,0.31443000,1.60321883
4.00000000,5.09873000,0.31480000,1.60508020
4.10000000,5.09873000,0.31489000,1.60553909
4.20000000,5.09865000,0.31489000,1.60551390
4.30000000,5.09873000,0.31486000,1.60538613
4.40000000,5.09884000,0.31487000,1.60547175
4.50000000,5.09873000,0.33189000,1.69221750
4.60000000,5.09814000,0.34085000,1.73770102
4.70000000,5.09759000,0.31893000,1.62577438
4.80000000,5.09767000,0.31831000,1.62263934
4.90000000,5.09771000,0.31767000,1.61938954
5.00000000,5.09783000,0.31703000,1.61616504
5.10000000,5.09779000,0.31654000,1.61365445
5.20000000,5.09787000,0.31622000,1.61204845
5.30000000,5.09775000,0.31593000,1.61053216
5.40000000,5.09767000,0.31563000,1.60897758
5.50000000,5.09771000,0.31533000,1.60746089
5.60000000,5.09818000,0.31351000,1.59833041
5.70000000,5.09888000,0.31055000,1.58345718
5.80000000,5.09892000,0.30985000,1.57990036
5.90000000,5.09877000,0.30984000,1.57980290
6.00000000,5.09865000,0.31019000,1.58155024
6.10000000,5.09849000,0.31037000,1.58241834
6.20000000,5.09830000,0.31075000,1.58429673
6.30000000,5.09818000,0.31108000,1.58594183
6.40000000,5.09799000,0.31145000,1.58776899
6.50000000,5.09791000,0.31174000,1.58922246
6.60000000,5.09783000,0.31173000,1.58914655
6.70000000,5.09783000,0.31174000,1.58919752
6.80000000,5.09775000,0.31175000,1.58922356
6.90000000,5.09756000,0.31268000,1.59390506
7.00000000,5.09771000,0.31237000,1.59237167
7.10000000,5.09779000,0.31227000,1.59188688
7.20000000,5.07628000,0.34932000,1.77324613
7.30000000,5.09630000,0.34110000,1.73834793
7.40000000,5.08504000,0.38866000,1.97635165
7.50000000,5.09435000,0.31720000,1.61592782
7.60000000,5.09412000,0.30948000,1.57652826
7.70000000,5.09419000,0.31172000,1.58796091
7.80000000,5.09423000,0.31048000,1.58165653
7.90000000,5.09455000,0.31048000,1.58175588
8.00000000,5.10505000,0.31073000,1.58629219
8.10000000,5.10505000,0.30973000,1.58118714
8.20000000,5.09490000,0.31023000,1.58059083
8.30000000,5.09646000,0.30948000,1.57725244
8.40000000,5.09728000,0.31927000,1.62740859
8.50000000,5.09857000,0.31359000,1.59886057
8.60000000,5.09920000,0.31051000,1.58335259
8.70000000,5.09908000,0.31079000,1.58474307
8.80000000,5.09900000,0.31117000,1.58665583
8.90000000,5.09884000,0.31149000,1.58823767
9.00000000,5.09865000,0.31169000,1.58919822
9.10000000,5.09857000,0.31171000,1.58927525
9.20000000,5.09849000,0.31171000,1.58925032
9.30000000,5.09810000,0.31294000,1.59539941
9.40000000,5.09806000,0.31320000,1.59671239
9.50000000,5.09806000,0.31323000,1.59686533
9.60000000,5.09822000,0.31271000,1.59426438
9.70000000,5.09822000,0.31237000,1.59253098
9.80000000,5.09822000,0.31198000,1.59054268
9.90000000,5.09830000,0.31159000,1.58857930
10.00000000,5.09830000,0.31131000,1.58715177
10.10000000,5.09826000,0.31127000,1.58693539
10.20000000,5.09806000,0.31128000,1.58692412
10.30000000,5.09802000,0.31128000,1.58691167
10.40000000,5.09834000,0.30979000,1.57941475
10.50000000,5.09849000,0.30977000,1.57935925
10.60000000,5.09853000,0.30975000,1.57926967
10.70000000,5.09857000,0.30976000,1.57933304
10.80000000,5.09877000,0.30975000,1.57934401
10.90000000,5.09892000,0.30982000,1.57974739
11.00000000,5.09904000,0.31003000,1.58085537
11.10000000,5.09904000,0.31035000,1.58248706
11.20000000,5.09908000,0.31072000,1.58438614
11.30000000,5.09904000,0.31108000,1.58620936
11.40000000,5.09904000,0.31142000,1.58794304
11.50000000,5.09904000,0.31149000,1.58829997
11.60000000,5.09908000,0.31149000,1.58831243
11.70000000,5.09924000,0.31145000,1.58815830
11.80000000,5.09912000,0.31190000,1.59041553
11.90000000,5.09916000,0.31189000,1.59037701
12.00000000,5.09916000,0.31177000,1.58976511
12.10000000,5.09927000,0.31201000,1.59102323
12.20000000,5.09947000,0.31166000,1.58930082
12.30000000,5.09955000,0.31131000,1.58754091
12.40000000,5.09978000,0.31094000,1.58572559
12.50000000,5.09994000,0.31077000,1.58490835
12.60000000,5.09994000,0.31078000,1.58495935
12.70000000,5.09986000,0.31079000,1.58498549
12.80000000,5.09986000,0.31043000,1.58314954
12.90000000,5.09990000,0.31028000,1.58239697
13.00000000,5.09994000,0.31029000,1.58246038
13.10000000,5.10006000,0.30971000,1.57953958
13.20000000,5.10010000,0.30971000,1.57955197
13.30000000,5.10017000,0.30970000,1.57952265
13.40000000,5.10013000,0.30973000,1.57966326
13.50000000,5.10002000,0.30993000,1.58064920
13.60000000,5.09986000,0.31029000,1.58243556
13.70000000,5.09978000,0.31065000,1.58424666
13.80000000,5.09974000,0.31101000,1.58607014
13.90000000,5.09967000,0.31142000,1.58813923
14.00000000,5.09959000,0.31142000,1.58811432
14.10000000,5.09959000,0.31143000,1.58816531
14.20000000,5.09943000,0.31147000,1.58831946
14.30000000,5.09931000,0.31149000,1.58838407
14.40000000,5.09924000,0.31146000,1.58820929
14.50000000,5.09927000,0.31135000,1.58765771
14.60000000,5.09935000,0.31100000,1.58589785
14.70000000,5.09939000,0.31066000,1.58417650
14.80000000,5.09947000,0.31030000,1.58236554
14.90000000,5.09955000,0.30984000,1.58004457
15.00000000,5.09955000,0.30985000,1.58009557
15.10000000,5.09959000,0.30984000,1.58005697
15.20000000,5.09959000,0.30983000,1.58000597
15.30000000,5.09963000,0.30982000,1.57996737
15.40000000,5.09970000,0.30984000,1.58009105
15.50000000,5.09970000,0.30985000,1.58014205
15.60000000,5.09974000,0.30984000,1.58010344
