# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 3
# V (#ffffff00), min: 5.07128, max: 5.1026
# I (#ff00ff00), min: 0.30898, max: 0.41455
# P (#ffff55ff), min: 1.5745126431999998, max: 2.1038536865
Time,Voltage,Current,Power
0.00000000,5.10111000,0.31201000,1.59159733
0.10000000,5.10096000,0.31203000,1.59165255
0.20000000,5.10092000,0.31204000,1.59169108
0.30000000,5.10068000,0.31238000,1.59335042
0.40000000,5.10056000,0.31273000,1.59509813
0.50000000,5.10084000,0.31149000,1.58886065
0.60000000,5.10080000,0.31183000,1.59058246
0.70000000,5.10072000,0.31200000,1.59142464
0.80000000,5.10060000,0.31201000,1.59143821
0.90000000,5.10060000,0.31200000,1.59138720
1.00000000,5.10041000,0.31253000,1.59403114
1.10000000,5.10033000,0.31284000,1.59558724
1.20000000,5.10041000,0.31284000,1.59561226
1.30000000,5.10037000,0.31261000,1.59442667
1.40000000,5.10045000,0.31229000,1.59281953
1.50000000,5.10049000,0.31197000,1.59119987
1.60000000,5.10060000,0.31160000,1.58934696
1.70000000,5.10064000,0.31136000,1.58813527
1.80000000,5.10060000,0.31136000,1.58812282
1.90000000,5.10053000,0.31137000,1.58815203
2.00000000,5.10064000,0.31136000,1.58813527
2.10000000,5.10096000,0.31054000,1.58405212
2.20000000,5.10103000,0.31053000,1.58402285
2.30000000,5.10107000,0.31052000,1.58398426
2.40000000,5.10115000,0.31048000,1.58380505
2.50000000,5.10131000,0.31046000,1.58375270
2.60000000,5.10123000,0.31046000,1.58372787
2.70000000,5.10123000,0.31056000,1.58423799
2.80000000,5.10111000,0.31093000,1.58608813
2.90000000,5.10096000,0.31129000,1.58787784
3.00000000,5.10088000,0.31163000,1.58958723
3.10000000,5.10060000,0.31224000,1.59261134
3.20000000,5.10045000,0.31296000,1.59623683
3.30000000,5.10029000,0.31300000,1.59639077
3.40000000,5.10010000,0.31300000,1.59633130
3.50000000,5.09994000,0.31299000,1.59623022
3.60000000,5.09990000,0.31299000,1.59621770
3.70000000,5.09986000,0.31298000,1.59615418
3.80000000,5.09998000,0.31262000,1.59435575
3.90000000,5.10017000,0.31224000,1.59247708
4.00000000,5.10013000,0.31189000,1.59067955
4.10000000,5.10021000,0.31155000,1.58897043
4.20000000,5.10049000,0.31051000,1.58375315
