# 10.0 sps, start/stop: 50/0 mA (10 s), channels: 3
# V (#ffffff00), min: 5.06878, max: 5.10505
# I (#ff00ff00), min: 0.30998, max: 0.40534
# P (#ffff55ff), min: 1.5794255949999998, max: 2.0571126602
Time,Voltage,Current,Power
0.00000000,5.09978000,0.31199000,1.59108036
0.10000000,5.09990000,0.31199000,1.59111780
0.20000000,5.09982000,0.31199000,1.59109284
0.30000000,5.09967000,0.31199000,1.59104604
0.40000000,5.09967000,0.31200000,1.59109704
0.50000000,5.09959000,0.31200000,1.59107208
0.60000000,5.08754000,0.37272000,1.89622791
0.70000000,5.09795000,0.34434000,1.75542810
0.80000000,5.09716000,0.35405000,1.80464950
0.90000000,5.08379000,0.37994000,1.93153517
1.00000000,5.09470000,0.31919000,1.62617729
1.10000000,5.09466000,0.31745000,1.61729982
1.20000000,5.09462000,0.31521000,1.60587517
1.30000000,5.09466000,0.31147000,1.58683375
1.40000000,5.09443000,0.31197000,1.58930933
1.50000000,5.09439000,0.31147000,1.58674965
1.60000000,5.09439000,0.31247000,1.59184404
1.70000000,5.09595000,0.31172000,1.58850953
1.80000000,5.09677000,0.31197000,1.59003934
1.90000000,5.09806000,0.31753000,1.61878699
2.00000000,5.09916000,0.31296000,1.59583311
2.10000000,5.09927000,0.31257000,1.59387882
2.20000000,5.09931000,0.31222000,1.59210657
2.30000000,5.09935000,0.31200000,1.59099720
2.40000000,5.09935000,0.31200000,1.59099720
2.50000000,5.09939000,0.31198000,1.59090769
2.60000000,5.09927000,0.31204000,1.59117621
2.70000000,5.09908000,0.31203000,1.59106593
2.80000000,5.09904000,0.31201000,1.59095147
2.90000000,5.09881000,0.31199000,1.59077773
3.00000000,5.09881000,0.31156000,1.58858524
3.10000000,5.09869000,0.31154000,1.58844588
3.20000000,5.09849000,0.31152000,1.58828160
3.30000000,5.09822000,0.31166000,1.58891125
3.40000000,5.09818000,0.31201000,1.59068314
3.50000000,5.09802000,0.31237000,1.59246851
3.60000000,5.09791000,0.31290000,1.59513604
3.70000000,5.09779000,0.31325000,1.59688272
3.80000000,5.09783000,0.31324000,1.59684427
3.90000000,5.09802000,0.31323000,1.59685280
4.00000000,5.09814000,0.31322000,1.59683941
4.10000000,5.09822000,0.31321000,1.59681349
4.20000000,5.09834000,0.31322000,1.59690205
4.30000000,5.09849000,0.31317000,1.59669411
4.40000000,5.09865000,0.31282000,1.59495969
4.50000000,5.09865000,0.31247000,1.59317517
4.60000000,5.09877000,0.31193000,1.59045933
4.70000000,5.09884000,0.31157000,1.58864558
4.80000000,5.09818000,0.34085000,1.73771465
4.90000000,5.09740000,0.34384000,1.75269002
5.00000000,5.09677000,0.31879000,1.62479931
5.10000000,5.09670000,0.31879000,1.62477699
