# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 3
# V (#ffffff00), min: 5.05877, max: 5.09197
# I (#ff00ff00), min: 0.34758, max: 0.44592
# P (#ffff55ff), min: 1.7674338726, max: 2.2686938064
Time,Voltage,Current,Power
0.00000000,5.08954000,0.35145000,1.78871883
0.10000000,5.08958000,0.35142000,1.78858020
0.20000000,5.08958000,0.35142000,1.78858020
0.30000000,5.08958000,0.35121000,1.78751139
0.40000000,5.08974000,0.35091000,1.78604066
0.50000000,5.08982000,0.35057000,1.78433820
0.60000000,5.08990000,0.35019000,1.78243208
0.70000000,5.09009000,0.34995000,1.78127700
0.80000000,5.09029000,0.34956000,1.77936177
0.90000000,5.09048000,0.34960000,1.77963181
1.00000000,5.09072000,0.34960000,1.77971571
1.10000000,5.09083000,0.34954000,1.77944872
1.20000000,5.09087000,0.34950000,1.77925906
1.30000000,5.09095000,0.34944000,1.77898157
1.40000000,5.09091000,0.34942000,1.77886577
1.50000000,5.09083000,0.34937000,1.77858328
1.60000000,5.09083000,0.34937000,1.77858328
1.70000000,5.09079000,0.34952000,1.77933292
1.80000000,5.09060000,0.34993000,1.78135366
1.90000000,5.09040000,0.35027000,1.78301441
2.00000000,5.09021000,0.35065000,1.78488214
2.10000000,5.08997000,0.35105000,1.78683397
2.20000000,5.08986000,0.35112000,1.78715164
2.30000000,5.08970000,0.35114000,1.78719726
2.40000000,5.08962000,0.35115000,1.78722006
2.50000000,5.08962000,0.35117000,1.78732186
2.60000000,5.08966000,0.35114000,1.78718321
2.70000000,5.08970000,0.35105000,1.78673918
2.80000000,5.08978000,0.35068000,1.78488405
2.90000000,5.08982000,0.35033000,1.78311664
3.00000000,5.08986000,0.34995000,1.78119651
3.10000000,5.08986000,0.34960000,1.77941506
3.20000000,5.08982000,0.34952000,1.77899389
3.30000000,5.08982000,0.34961000,1.77945197
3.40000000,5.08978000,0.34960000,1.77938709
3.50000000,5.08978000,0.34957000,1.77923439
3.60000000,5.08962000,0.34998000,1.78126521
3.70000000,5.08954000,0.35002000,1.78144079
3.80000000,5.08951000,0.35007000,1.78168477
3.90000000,5.08951000,0.35027000,1.78270267
4.00000000,5.08966000,0.35023000,1.78255162
4.10000000,5.08974000,0.35021000,1.78247785
4.20000000,5.08974000,0.35044000,1.78364849
4.30000000,5.08982000,0.35069000,1.78494898
4.40000000,5.08986000,0.35102000,1.78664266
4.50000000,5.08982000,0.35143000,1.78871544
4.60000000,5.08997000,0.35127000,1.78795376
4.70000000,5.09005000,0.35124000,1.78782916
4.80000000,5.08993000,0.35159000,1.78956849
4.90000000,5.08993000,0.35141000,1.78865230
5.00000000,5.08990000,0.35145000,1.78884535
5.10000000,5.08997000,0.35148000,1.78902266
5.20000000,5.09013000,0.35132000,1.78826447
5.30000000,5.09029000,0.35099000,1.78664089
5.40000000,5.09036000,0.35059000,1.78462931
5.50000000,5.09052000,0.35020000,1.78270010
5.60000000,5.09064000,0.34986000,1.78101131
5.70000000,5.09056000,0.34988000,1.78108513
5.80000000,5.07378000,0.42252000,2.14377353
5.90000000,5.08865000,0.38169000,1.94228682
6.00000000,5.08759000,0.38716000,1.96971134
6.10000000,5.08642000,0.40484000,2.05918627
6.20000000,5.08556000,0.34857000,1.77267365
6.30000000,5.08544000,0.35007000,1.78025998
6.40000000,5.08532000,0.34832000,1.77131866
6.50000000,5.08525000,0.35056000,1.78268524
6.60000000,5.08501000,0.35106000,1.78514361
6.70000000,5.08482000,0.35380000,1.79900932
6.80000000,5.08536000,0.35056000,1.78272380
6.90000000,5.08638000,0.35181000,1.78943935
7.00000000,5.08720000,0.35980000,1.83037456
7.10000000,5.08810000,0.35590000,1.81085479
7.20000000,5.08908000,0.35184000,1.79054191
7.30000000,5.08919000,0.35170000,1.78986812
7.40000000,5.08923000,0.35170000,1.78988219
7.50000000,5.08927000,0.35164000,1.78959090
7.60000000,5.08935000,0.35162000,1.78951725
7.70000000,5.08947000,0.35136000,1.78823618
7.80000000,5.08951000,0.35105000,1.78667249
7.90000000,5.08966000,0.35070000,1.78494376
8.00000000,5.08978000,0.35035000,1.78320442
8.10000000,5.08986000,0.35016000,1.78226538
8.20000000,5.09001000,0.34967000,1.77982380
8.30000000,5.09001000,0.34963000,1.77962020
8.40000000,5.09001000,0.34966000,1.77977290
8.50000000,5.08993000,0.34965000,1.77969402
8.60000000,5.08982000,0.34966000,1.77970646
8.70000000,5.08974000,0.34965000,1.77962759
8.80000000,5.08970000,0.34965000,1.77961360
8.90000000,5.08962000,0.34969000,1.77978922
9.00000000,5.08951000,0.34970000,1.77980165
9.10000000,5.08951000,0.34981000,1.78036149
9.20000000,5.08935000,0.35016000,1.78208680
9.30000000,5.08911000,0.35057000,1.78408929
9.40000000,5.08904000,0.35096000,1.78604948
9.50000000,5.08908000,0.35127000,1.78764113
9.60000000,5.08931000,0.35120000,1.78736567
9.70000000,5.08908000,0.35256000,1.79420604
9.80000000,5.08888000,0.35359000,1.79937708
9.90000000,5.08868000,0.35516000,1.80729559
10.00000000,5.08880000,0.35513000,1.80718554
10.10000000,5.08888000,0.35509000,1.80701040
10.20000000,5.08896000,0.35480000,1.80556301
10.30000000,5.08911000,0.35441000,1.80363148
10.40000000,5.08923000,0.35408000,1.80199456
10.50000000,5.08927000,0.35373000,1.80022748
10.60000000,5.08931000,0.35371000,1.80013984
10.70000000,5.08931000,0.35355000,1.79932555
10.80000000,5.08974000,0.35199000,1.79153758
10.90000000,5.09021000,0.34979000,1.78050456
11.00000000,5.09013000,0.34977000,1.78037477
11.10000000,5.09005000,0.34974000,1.78019409
11.20000000,5.09005000,0.34967000,1.77983778
11.30000000,5.09001000,0.34966000,1.77977290
11.40000000,5.09001000,0.34962000,1.77956930
11.50000000,5.08990000,0.34959000,1.77937814
11.60000000,5.08978000,0.34984000,1.78060864
11.70000000,5.08962000,0.35023000,1.78253761
11.80000000,5.08939000,0.35062000,1.78444192
11.90000000,5.08927000,0.35095000,1.78607931
12.00000000,5.08919000,0.35117000,1.78717085
12.10000000,5.08919000,0.35117000,1.78717085
12.20000000,5.08931000,0.35122000,1.78746746
12.30000000,5.08935000,0.35129000,1.78783776
12.40000000,5.08939000,0.35126000,1.78769913
12.50000000,5.08943000,0.35122000,1.78750960
12.60000000,5.08939000,0.35107000,1.78673215
12.70000000,5.08947000,0.35066000,1.78467355
12.80000000,5.08966000,0.35028000,1.78280610
12.90000000,5.08974000,0.34991000,1.78095092
13.00000000,5.08990000,0.34962000,1.77953084
13.10000000,5.08993000,0.34962000,1.77954133
13.20000000,5.08997000,0.34959000,1.77940261
13.30000000,5.08997000,0.34950000,1.77894451
13.40000000,5.09005000,0.34954000,1.77917608
13.50000000,5.09001000,0.34959000,1.77941660
13.60000000,5.09009000,0.34959000,1.77944456
13.70000000,5.09017000,0.34960000,1.77952343
13.80000000,5.09017000,0.34959000,1.77947253
13.90000000,5.09029000,0.34956000,1.77936177
14.00000000,5.09040000,0.34953000,1.77924751
14.10000000,5.09044000,0.34988000,1.78104315
14.20000000,5.09040000,0.35024000,1.78286170
14.30000000,5.09040000,0.35060000,1.78469424
14.40000000,5.09036000,0.35096000,1.78651275
14.50000000,5.09021000,0.35134000,1.78839438
14.60000000,5.09021000,0.35146000,1.78900521
14.70000000,5.09025000,0.35144000,1.78891746
14.80000000,5.09033000,0.35141000,1.78879287
14.90000000,5.09036000,0.35142000,1.78885431
15.00000000,5.09025000,0.35185000,1.79100446
15.10000000,5.09021000,0.35156000,1.78951423
15.20000000,5.09021000,0.35116000,1.78747814
15.30000000,5.09025000,0.35086000,1.78596511
15.40000000,5.09033000,0.35052000,1.78426247
15.50000000,5.09052000,0.35016000,1.78249648
15.60000000,5.09068000,0.34992000,1.78133075
15.70000000,5.09068000,0.34993000,1.78138165
15.80000000,5.09068000,0.34993000,1.78138165
15.90000000,5.09064000,0.34996000,1.78152037
16.00000000,5.09068000,0.34956000,1.77949810
16.10000000,5.09068000,0.34958000,1.77959991
16.20000000,5.09064000,0.34962000,1.77978956
16.30000000,5.09060000,0.34960000,1.77967376
16.40000000,5.09048000,0.34963000,1.77978452
16.50000000,5.09033000,0.34979000,1.78054653
16.60000000,5.09013000,0.35016000,1.78235992
16.70000000,5.09001000,0.35051000,1.78409941
16.80000000,5.08982000,0.35085000,1.78576335
16.90000000,5.08970000,0.35119000,1.78745174
17.00000000,5.08958000,0.35120000,1.78746050
17.10000000,5.08951000,0.35119000,1.78738502
17.20000000,5.08951000,0.35119000,1.78738502
17.30000000,5.08943000,0.35120000,1.78740782
17.40000000,5.08935000,0.35122000,1.78748151
17.50000000,5.08931000,0.35113000,1.78700942
17.60000000,5.08943000,0.35073000,1.78501578
17.70000000,5.08962000,0.35037000,1.78325016
17.80000000,5.08974000,0.35005000,1.78166349
17.90000000,5.08982000,0.34972000,1.78001185
18.00000000,5.08954000,0.39389000,2.00471891
18.10000000,5.07753000,0.38443000,1.95195486
18.20000000,5.08751000,0.38567000,1.96209998
18.30000000,5.06878000,0.42376000,2.14794621
18.40000000,5.08536000,0.35156000,1.78780916
18.50000000,5.08528000,0.35031000,1.78142444
18.60000000,5.08525000,0.34982000,1.77892216
18.70000000,5.08513000,0.35007000,1.78015146
18.80000000,5.08513000,0.34832000,1.77125248
18.90000000,5.08513000,0.35156000,1.78772830
19.00000000,5.08513000,0.35156000,1.78772830
19.10000000,5.08630000,0.35430000,1.80207609
19.20000000,5.08739000,0.35106000,1.78597913
19.30000000,5.08837000,0.35741000,1.81863432
19.40000000,5.08943000,0.35352000,1.79921529
19.50000000,5.08997000,0.35190000,1.79116044
19.60000000,5.09005000,0.35184000,1.79088319
19.70000000,5.09013000,0.35171000,1.79024962
19.80000000,5.09017000,0.35166000,1.79000918
19.90000000,5.05877000,0.41331000,2.09084023
20.00000000,5.08962000,0.38318000,1.95024059
20.10000000,5.08900000,0.35640000,1.81371960
20.20000000,5.08900000,0.35608000,1.81209112
20.30000000,5.08904000,0.35573000,1.81032420
20.40000000,5.08908000,0.35506000,1.80692874
20.50000000,5.08904000,0.35485000,1.80584584
20.60000000,5.08900000,0.35494000,1.80628966
20.70000000,5.08892000,0.35496000,1.80636304
20.80000000,5.08880000,0.35492000,1.80611690
20.90000000,5.08872000,0.35489000,1.80593584
21.00000000,5.08915000,0.35298000,1.79636817
21.10000000,5.08986000,0.35000000,1.78145100
21.20000000,5.08990000,0.34957000,1.77927634
21.30000000,5.08982000,0.34960000,1.77940107
21.40000000,5.08978000,0.34964000,1.77959068
21.50000000,5.08954000,0.35039000,1.78332392
