# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 3
# V (#ffffff00), min: 5.06628, max: 5.08872
# I (#ff00ff00), min: 0.35206, max: 0.43572
# P (#ffff55ff), min: 1.7895280212, max: 2.2074795216
Time,Voltage,Current,Power
0.00000000,5.08837000,0.35567000,1.80978056
0.10000000,5.08841000,0.35577000,1.81030363
0.20000000,5.08849000,0.35576000,1.81028120
0.30000000,5.08849000,0.35570000,1.80997589
0.40000000,5.08845000,0.35575000,1.81021609
0.50000000,5.08837000,0.35620000,1.81247739
0.60000000,5.08837000,0.35622000,1.81257916
0.70000000,5.08845000,0.35601000,1.81153908
0.80000000,5.08861000,0.35559000,1.80945883
0.90000000,5.08861000,0.35526000,1.80777959
1.00000000,5.08845000,0.35540000,1.80843513
1.10000000,5.08837000,0.35520000,1.80738902
1.20000000,5.08841000,0.35520000,1.80740323
1.30000000,5.08841000,0.35519000,1.80735235
1.40000000,5.08837000,0.35521000,1.80743991
1.50000000,5.08845000,0.35487000,1.80573825
1.60000000,5.08849000,0.35478000,1.80529448
1.70000000,5.08849000,0.35474000,1.80509094
1.80000000,5.08845000,0.35475000,1.80512764
1.90000000,5.08845000,0.35475000,1.80512764
2.00000000,5.08865000,0.35426000,1.80270515
2.10000000,5.08872000,0.35433000,1.80308616
2.20000000,5.08861000,0.35466000,1.80472642
2.30000000,5.08845000,0.35503000,1.80655240
2.40000000,5.08837000,0.35541000,1.80845758
2.50000000,5.08822000,0.35575000,1.81013426
2.60000000,5.08810000,0.35577000,1.81019334
2.70000000,5.08794000,0.35577000,1.81013641
2.80000000,5.08782000,0.35580000,1.81024636
2.90000000,5.08775000,0.35579000,1.81017057
3.00000000,5.08763000,0.35580000,1.81017875
3.10000000,5.08755000,0.35580000,1.81015029
3.20000000,5.08759000,0.35549000,1.80858737
3.30000000,5.08771000,0.35514000,1.80684933
3.40000000,5.08771000,0.35478000,1.80501775
3.50000000,5.08775000,0.35444000,1.80330211
3.60000000,5.08771000,0.35432000,1.80267741
3.70000000,5.08771000,0.35433000,1.80272828
3.80000000,5.08779000,0.35429000,1.80255312
3.90000000,5.08779000,0.35432000,1.80270575
4.00000000,5.08786000,0.35429000,1.80257792
4.10000000,5.08786000,0.35429000,1.80257792
4.20000000,5.08790000,0.35426000,1.80243945
4.30000000,5.08802000,0.35425000,1.80243109
4.40000000,5.08814000,0.35426000,1.80252448
4.50000000,5.08829000,0.35422000,1.80237408
4.60000000,5.08845000,0.35446000,1.80365199
4.70000000,5.08837000,0.35481000,1.80540456
4.80000000,5.08841000,0.35520000,1.80740323
4.90000000,5.08837000,0.35556000,1.80922084
5.00000000,5.08833000,0.35583000,1.81058046
5.10000000,5.08833000,0.35579000,1.81037693
5.20000000,5.08829000,0.35581000,1.81046446
5.30000000,5.08822000,0.35589000,1.81084662
5.40000000,5.08818000,0.35590000,1.81088326
5.50000000,5.08802000,0.35587000,1.81067368
5.60000000,5.08798000,0.35578000,1.81020152
5.70000000,5.08810000,0.35540000,1.80831074
5.80000000,5.08818000,0.35503000,1.80645655
5.90000000,5.08829000,0.35464000,1.80451117
6.00000000,5.08837000,0.35433000,1.80296214
6.10000000,5.08841000,0.35436000,1.80312897
6.20000000,5.08845000,0.35440000,1.80334668
6.30000000,5.08841000,0.35431000,1.80287455
6.40000000,5.08833000,0.35431000,1.80284620
6.50000000,5.08841000,0.35430000,1.80282366
6.60000000,5.08837000,0.35428000,1.80270772
6.70000000,5.08829000,0.35429000,1.80273026
6.80000000,5.08822000,0.35426000,1.80255282
6.90000000,5.08818000,0.35432000,1.80284394
7.00000000,5.08818000,0.35433000,1.80289482
7.10000000,5.08806000,0.35468000,1.80463312
7.20000000,5.08794000,0.35505000,1.80647310
