# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 3
# V (#ffffff00), min: 5.06878, max: 5.09099
# I (#ff00ff00), min: 0.35007, max: 0.42152
# P (#ffff55ff), min: 1.7799869262, max: 2.1449972544
Time,Voltage,Current,Power
0.00000000,5.08923000,0.35518000,1.80759271
0.10000000,5.08919000,0.35513000,1.80732404
0.20000000,5.08915000,0.35508000,1.80705538
0.30000000,5.08931000,0.35431000,1.80319343
0.40000000,5.08935000,0.35439000,1.80361475
0.50000000,5.08951000,0.35409000,1.80214460
0.60000000,5.08954000,0.35377000,1.80052657
0.70000000,5.08954000,0.35339000,1.79859254
0.80000000,5.08962000,0.35304000,1.79683944
0.90000000,5.08966000,0.35282000,1.79573384
1.00000000,5.08966000,0.35284000,1.79583563
1.10000000,5.08970000,0.35286000,1.79595154
1.20000000,5.08974000,0.35285000,1.79591476
1.30000000,5.08982000,0.35263000,1.79482323
1.40000000,5.08982000,0.35251000,1.79421245
1.50000000,5.08970000,0.35252000,1.79422104
1.60000000,5.08974000,0.35250000,1.79413335
1.70000000,5.08978000,0.35245000,1.79389296
1.80000000,5.08986000,0.35240000,1.79366666
1.90000000,5.08970000,0.35257000,1.79447553
2.00000000,5.08954000,0.35291000,1.79614956
2.10000000,5.08931000,0.35325000,1.79779876
2.20000000,5.08911000,0.35363000,1.79966197
2.30000000,5.08900000,0.35400000,1.80150600
2.40000000,5.08900000,0.35405000,1.80176045
2.50000000,5.08904000,0.35398000,1.80141838
2.60000000,5.08908000,0.35398000,1.80143254
2.70000000,5.08908000,0.35402000,1.80163610
2.80000000,5.08911000,0.35409000,1.80200296
2.90000000,5.08923000,0.35405000,1.80184188
3.00000000,5.08935000,0.35401000,1.80168079
3.10000000,5.08947000,0.35388000,1.80106164
3.20000000,5.08962000,0.35364000,1.79989322
3.30000000,5.08974000,0.35326000,1.79800155
3.40000000,5.08970000,0.35315000,1.79742756
3.50000000,5.08970000,0.35315000,1.79742756
3.60000000,5.08962000,0.35311000,1.79719572
3.70000000,5.08962000,0.35310000,1.79714482
3.80000000,5.08951000,0.35313000,1.79725867
3.90000000,5.08943000,0.35316000,1.79738310
4.00000000,5.08947000,0.35281000,1.79561591
4.10000000,5.08919000,0.35402000,1.80167504
4.20000000,5.08911000,0.35419000,1.80251187
4.30000000,5.08911000,0.35423000,1.80271544
4.40000000,5.08896000,0.35460000,1.80454522
4.50000000,5.08892000,0.35492000,1.80615949
4.60000000,5.08888000,0.35525000,1.80782462
4.70000000,5.08880000,0.35563000,1.80972994
4.80000000,5.08884000,0.35584000,1.81081283
4.90000000,5.08888000,0.35581000,1.81067439
5.00000000,5.08896000,0.35580000,1.81065197
5.10000000,5.08900000,0.35560000,1.80964840
5.20000000,5.08943000,0.35404000,1.80186180
5.30000000,5.08954000,0.35404000,1.80190074
5.40000000,5.08978000,0.35380000,1.80076416
5.50000000,5.09001000,0.35341000,1.79886043
5.60000000,5.09021000,0.35307000,1.79720044
5.70000000,5.09033000,0.35274000,1.79556300
5.80000000,5.09044000,0.35241000,1.79392196
5.90000000,5.09048000,0.35243000,1.79403787
6.00000000,5.09029000,0.35284000,1.79605792
6.10000000,5.09029000,0.35282000,1.79595612
6.20000000,5.09025000,0.35282000,1.79594201
6.30000000,5.08951000,0.38418000,1.95528795
6.40000000,5.08861000,0.37945000,1.93087306
6.50000000,5.08771000,0.36158000,1.83961418
6.60000000,5.08751000,0.36195000,1.84142424
6.70000000,5.08736000,0.36197000,1.84147170
6.80000000,5.08720000,0.36203000,1.84171902
6.90000000,5.08696000,0.36235000,1.84325996
7.00000000,5.08693000,0.36234000,1.84319822
7.10000000,5.08677000,0.36269000,1.84492061
7.20000000,5.08665000,0.36308000,1.84686088
7.30000000,5.08704000,0.35007000,1.78082009
7.40000000,5.08775000,0.35826000,1.82273732
7.50000000,5.08849000,0.35514000,1.80712634
7.60000000,5.08872000,0.35406000,1.80171220
7.70000000,5.08861000,0.35435000,1.80314895
7.80000000,5.08865000,0.35438000,1.80331579
7.90000000,5.08876000,0.35414000,1.80213347
8.00000000,5.08884000,0.35380000,1.80043159
8.10000000,5.08896000,0.35343000,1.79859113
8.20000000,5.08786000,0.41679000,2.12056917
8.30000000,5.08696000,0.39189000,1.99352875
8.40000000,5.08595000,0.39812000,2.02481841
8.50000000,5.06878000,0.40011000,2.02806957
8.60000000,5.08396000,0.35405000,1.79997604
8.70000000,5.08407000,0.35256000,1.79243972
8.80000000,5.08407000,0.35206000,1.78989768
8.90000000,5.08403000,0.35231000,1.79115461
9.00000000,5.08407000,0.35305000,1.79493091
9.10000000,5.08411000,0.35305000,1.79494504
9.20000000,5.08513000,0.35056000,1.78264317
9.30000000,5.08630000,0.36544000,1.85873747
9.40000000,5.08712000,0.36296000,1.84642108
9.50000000,5.08798000,0.35959000,1.82958673
9.60000000,5.08900000,0.35561000,1.80969929
9.70000000,5.08923000,0.35455000,1.80438650
9.80000000,5.08927000,0.35450000,1.80414621
9.90000000,5.08931000,0.35450000,1.80416040
10.00000000,5.08935000,0.35452000,1.80427636
10.10000000,5.08939000,0.35451000,1.80423965
10.20000000,5.08947000,0.35445000,1.80396264
10.30000000,5.08951000,0.35438000,1.80362055
10.40000000,5.08962000,0.35407000,1.80208175
10.50000000,5.08978000,0.35369000,1.80020429
10.60000000,5.09001000,0.35307000,1.79712983
10.70000000,5.09017000,0.35251000,1.79433583
10.80000000,5.09021000,0.35244000,1.79399361
10.90000000,5.09025000,0.35244000,1.79400771
11.00000000,5.09029000,0.35240000,1.79381820
11.10000000,5.09029000,0.35241000,1.79386910
11.20000000,5.09021000,0.35247000,1.79414632
11.30000000,5.09005000,0.35251000,1.79429353
11.40000000,5.08993000,0.35254000,1.79440392
11.50000000,5.08978000,0.35250000,1.79414745
11.60000000,5.08966000,0.35247000,1.79395246
11.70000000,5.08962000,0.35246000,1.79388747
11.80000000,5.08943000,0.35272000,1.79514375
11.90000000,5.08919000,0.35307000,1.79684031
12.00000000,5.08908000,0.35345000,1.79873533
12.10000000,5.08892000,0.35379000,1.80040901
12.20000000,5.08888000,0.35403000,1.80161619
12.30000000,5.08888000,0.35404000,1.80166708
12.40000000,5.08880000,0.35408000,1.80184230
12.50000000,5.08880000,0.35404000,1.80163875
12.60000000,5.08880000,0.35402000,1.80153698
12.70000000,5.08876000,0.35406000,1.80172637
12.80000000,5.08880000,0.35391000,1.80097721
12.90000000,5.08892000,0.35355000,1.79918767
13.00000000,5.08900000,0.35313000,1.79707857
13.10000000,5.08888000,0.35305000,1.79662908
13.20000000,5.08880000,0.35288000,1.79573574
13.30000000,5.08868000,0.35287000,1.79564251
13.40000000,5.08853000,0.35345000,1.79854093
13.50000000,5.08841000,0.35347000,1.79860028
13.60000000,5.08829000,0.35352000,1.79881228
13.70000000,5.08822000,0.35352000,1.79878753
13.80000000,5.08814000,0.35353000,1.79881013
13.90000000,5.08806000,0.35352000,1.79873097
14.00000000,5.08802000,0.35359000,1.79907299
14.10000000,5.08814000,0.35342000,1.79825044
14.20000000,5.08818000,0.35322000,1.79724694
14.30000000,5.08806000,0.35359000,1.79908714
14.40000000,5.08802000,0.35343000,1.79825891
14.50000000,5.08794000,0.35373000,1.79975702
14.60000000,5.08790000,0.35410000,1.80162539
14.70000000,5.08779000,0.35420000,1.80209522
14.80000000,5.08779000,0.35420000,1.80209522
14.90000000,5.08775000,0.35420000,1.80208105
15.00000000,5.08771000,0.35422000,1.80216864
15.10000000,5.08771000,0.35424000,1.80227039
15.20000000,5.08782000,0.35424000,1.80230936
15.30000000,5.08794000,0.35393000,1.80077460
15.40000000,5.08825000,0.35352000,1.79879814
15.50000000,5.08845000,0.35315000,1.79698612
