# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 3
# V (#ffffff00), min: 5.06378, max: 5.09158
# I (#ff00ff00), min: 0.34932, max: 0.42576
# P (#ffff55ff), min: 1.7764039824000002, max: 2.1559549728000005
Time,Voltage,Current,Power
0.00000000,5.08939000,0.35341000,1.79864132
0.10000000,5.08939000,0.35340000,1.79859043
0.20000000,5.08943000,0.35342000,1.79870635
0.30000000,5.08947000,0.35343000,1.79877138
0.40000000,5.08962000,0.35328000,1.79806095
0.50000000,5.08970000,0.35328000,1.79808922
0.60000000,5.08974000,0.35318000,1.79759437
0.70000000,5.08978000,0.35254000,1.79435104
0.80000000,5.08974000,0.35290000,1.79616925
0.90000000,5.08958000,0.35326000,1.79794503
1.00000000,5.08951000,0.35361000,1.79970163
1.10000000,5.08958000,0.35373000,1.80033713
1.20000000,5.08958000,0.35372000,1.80028624
1.30000000,5.08958000,0.35373000,1.80033713
1.40000000,5.08947000,0.35378000,1.80055270
1.50000000,5.08943000,0.35384000,1.80084391
1.60000000,5.08935000,0.35381000,1.80066292
1.70000000,5.08939000,0.35352000,1.79920115
1.80000000,5.08892000,0.35498000,1.80646482
1.90000000,5.08896000,0.35486000,1.80586835
2.00000000,5.08900000,0.35465000,1.80481385
2.10000000,5.08896000,0.35440000,1.80352742
2.20000000,5.08892000,0.35438000,1.80341147
2.30000000,5.08888000,0.35450000,1.80400796
2.40000000,5.08896000,0.35447000,1.80388365
2.50000000,5.08892000,0.35441000,1.80356414
2.60000000,5.08896000,0.35444000,1.80373098
2.70000000,5.08900000,0.35447000,1.80389783
2.80000000,5.08962000,0.35271000,1.79515987
2.90000000,5.08966000,0.35269000,1.79507219
3.00000000,5.08990000,0.35229000,1.79312087
3.10000000,5.08993000,0.35246000,1.79399673
3.20000000,5.08990000,0.35287000,1.79607301
3.30000000,5.08986000,0.35314000,1.79743316
3.40000000,5.08974000,0.35350000,1.79922309
3.50000000,5.08962000,0.35387000,1.80106383
3.60000000,5.08970000,0.35384000,1.80093945
3.70000000,5.08970000,0.35426000,1.80307712
3.80000000,5.08970000,0.35424000,1.80297533
3.90000000,5.08970000,0.35424000,1.80297533
4.00000000,5.08962000,0.35426000,1.80304878
4.10000000,5.08958000,0.35421000,1.80278013
4.20000000,5.07628000,0.40409000,2.05127399
4.30000000,5.08825000,0.36021000,1.83283853
4.40000000,5.08782000,0.39364000,2.00276946
4.50000000,5.08712000,0.39737000,2.02146887
4.60000000,5.08611000,0.35654000,1.81340166
4.70000000,5.08599000,0.35007000,1.78045252
4.80000000,5.08603000,0.35430000,1.80198043
4.90000000,5.08607000,0.34957000,1.77793749
5.00000000,5.08618000,0.35056000,1.78301126
5.10000000,5.08634000,0.35330000,1.79700392
5.20000000,5.08654000,0.35007000,1.78064506
5.30000000,5.08771000,0.35430000,1.80257565
5.40000000,5.08845000,0.34982000,1.78004158
5.50000000,5.08931000,0.35908000,1.82746943
5.60000000,5.09017000,0.35548000,1.80945363
5.70000000,5.09052000,0.35331000,1.79853162
5.80000000,5.09040000,0.35363000,1.80011815
5.90000000,5.09021000,0.35402000,1.80203614
6.00000000,5.09001000,0.35437000,1.80374684
6.10000000,5.08990000,0.35436000,1.80365696
6.20000000,5.08982000,0.35439000,1.80378131
6.30000000,5.08974000,0.35433000,1.80344757
6.40000000,5.08974000,0.35430000,1.80329488
6.50000000,5.08970000,0.35427000,1.80312802
6.60000000,5.08974000,0.35401000,1.80181886
6.70000000,5.08978000,0.35336000,1.79852466
6.80000000,5.08986000,0.35296000,1.79651699
