config,stage,submodule,DSP
W8A8,synth_1,cnn_hw_ama_addmuladd_16s_18s_16ns_24s_33_4_1_DSP48_0_U,1
W8A8,synth_1,cnn_hw_mac_muladd_8s_8s_16s_16_4_1_DSP48_0_U,3
W8A8,synth_1,cnn_hw_mac_muladd_8s_8s_17s_18_4_1_DSP48_0_U,1
W8A8,synth_1,conv2_U0,30
W8A8,synth_1,cnn_hw_ama_addmuladd_21s_22s_16ns_29s_38_4_1_DSP48_0_U,1
W8A8,synth_1,cnn_hw_mac_muladd_8ns_8s_16s_17_4_1_DSP48_0_U,28
W8A8,synth_1,cnn_hw_mac_muladd_8ns_8s_17s_18_4_1_DSP48_0_U,16
W8A8,synth_1,cnn_hw_mac_muladd_8ns_8s_19s_20_4_1_DSP48_0_U,1
W8A8,synth_1,cnn_hw_mac_muladd_8ns_8s_20s_21_4_1_DSP48_0_U,1
W8A8,synth_1,cnn_hw_mac_muladd_8ns_8s_21s_22_4_1_DSP48_0_U,1
W8A8,synth_1,cnn_hw_mac_muladd_8s_8ns_16s_17_4_1_DSP48_0_U,2
W8A8,synth_1,cnn_hw_mac_muladd_8s_8ns_17s_18_4_1_DSP48_0_U,1
W8A8,synth_1,dense_argmax_U0,2
W8A8,synth_1,cnn_hw_mac_muladd_17ns_8s_30s_30_4_1_DSP48_0_U,1
W8A8,impl_1,cnn_hw_ama_addmuladd_16s_18s_16ns_24s_33_4_1_DSP48_0_U,1
W8A8,impl_1,cnn_hw_mac_muladd_8s_8s_16s_16_4_1_DSP48_0_U,3
W8A8,impl_1,cnn_hw_mac_muladd_8s_8s_17s_18_4_1_DSP48_0_U,1
W8A8,impl_1,conv2_U0,30
W8A8,impl_1,cnn_hw_ama_addmuladd_21s_22s_16ns_29s_38_4_1_DSP48_0_U,1
W8A8,impl_1,cnn_hw_mac_muladd_8ns_8s_16s_17_4_1_DSP48_0_U,28
W8A8,impl_1,cnn_hw_mac_muladd_8ns_8s_17s_18_4_1_DSP48_0_U,16
