config,unroll,csim_argmax,csim_logit,latency,II_top,DSP,LUT,FF,BRAM,conv2_DSP,conv2_LUT,C2_II,conv1_DSP,C1_II
W_int8_A8,1,0,0,84870,49152,59,8427,4156,82,51,3990,3,5,2
W_int8_A8,2,0,0,60295,32768,110,11541,5709,82,102,7104,3,5,2
W_int8_A8,4,0,0,48007,32768,206,17160,10057,82,198,12723,3,5,2
W_int8_A8,8,0,0,41863,32768,374,29720,17382,82,366,25283,3,5,2
A_int4_A4,1,0,0,84870,49152,54,6618,3178,81,46,2487,3,5,2
A_int4_A4,2,0,0,60295,32768,100,8736,4123,81,92,4605,3,5,2
A_int4_A4,4,0,0,48007,32768,192,11848,6312,81,184,7717,3,5,2
A_int4_A4,8,0,0,41866,32768,388,18156,11033,81,380,14025,3,5,2
W_ternary_A8,1,0,0,84877,49152,9,12501,3552,82,1,8064,3,5,2
W_ternary_A8,2,0,0,60302,32768,10,19200,4502,82,2,14763,3,5,2
W_ternary_A8,4,0,0,48014,32768,12,39548,19248,82,4,35111,3,5,2
W_ternary_A8,8,0,0,41871,32768,16,68510,32868,82,8,64073,3,5,2
